event_date,location,owner,impressions,clicks,new bookings,total_revenue
26/07/2024,Paw Precinct - Surfers Paradise,Paw Precinct,131,59,6,180
28/07/2024,Paw Precinct - Surfers Paradise,Paw Precinct,110,50,5,720
29/07/2024,Paw Precinct - Surfers Paradise,Paw Precinct,152,68,7,6
30/07/2024,Paw Precinct - Surfers Paradise,Paw Precinct,193,87,9,0
31/07/2024,Paw Precinct - Surfers Paradise,Paw Precinct,119,54,5,360
02/08/2024,Paw Precinct - Surfers Paradise,Paw Precinct,157,71,7,150
04/08/2024,Paw Precinct - Surfers Paradise,Paw Precinct,104,47,5,180
05/08/2024,Paw Precinct - Surfers Paradise,Paw Precinct,152,68,7,540
06/08/2024,Paw Precinct - Surfers Paradise,Paw Precinct,175,79,8,1260
07/08/2024,Paw Precinct - Surfers Paradise,Paw Precinct,103,46,5,1260
09/08/2024,Paw Precinct - Surfers Paradise,Paw Precinct,199,90,9,180
10/08/2024,Paw Precinct - Surfers Paradise,Paw Precinct,145,65,7,180
13/08/2024,Paw Precinct - Surfers Paradise,Paw Precinct,145,65,7,360
14/08/2024,Paw Precinct - Surfers Paradise,Paw Precinct,102,46,5,1260
15/08/2024,Paw Precinct - Surfers Paradise,Paw Precinct,147,66,7,330
16/08/2024,Paw Precinct - Surfers Paradise,Paw Precinct,133,60,6,180
17/08/2024,Paw Precinct - Surfers Paradise,Paw Precinct,123,55,6,0
20/08/2024,Paw Precinct - Surfers Paradise,Paw Precinct,137,62,6,360
21/08/2024,Paw Precinct - Surfers Paradise,Paw Precinct,170,77,8,380
22/08/2024,Paw Precinct - Surfers Paradise,Paw Precinct,112,50,5,360
25/08/2024,Paw Precinct - Surfers Paradise,Paw Precinct,110,50,5,180
27/08/2024,Paw Precinct - Surfers Paradise,Paw Precinct,115,52,5,720
29/08/2024,Paw Precinct - Surfers Paradise,Paw Precinct,158,71,7,360
30/08/2024,Paw Precinct - Surfers Paradise,Paw Precinct,119,54,5,360
01/09/2024,Paw Precinct - Surfers Paradise,Paw Precinct,116,52,5,150
02/09/2024,Paw Precinct - Surfers Paradise,Paw Precinct,182,82,8,1080
03/09/2024,Paw Precinct - Surfers Paradise,Paw Precinct,124,56,6,180
04/09/2024,Paw Precinct - Surfers Paradise,Paw Precinct,189,85,9,1260
05/09/2024,Paw Precinct - Surfers Paradise,Paw Precinct,137,62,6,1440
06/09/2024,Paw Precinct - Surfers Paradise,Paw Precinct,190,86,9,0
08/09/2024,Paw Precinct - Surfers Paradise,Paw Precinct,144,65,7,180
09/09/2024,Paw Precinct - Surfers Paradise,Paw Precinct,107,48,5,0
13/09/2024,Paw Precinct - Surfers Paradise,Paw Precinct,125,56,6,1260
14/09/2024,Paw Precinct - Surfers Paradise,Paw Precinct,140,63,6,180
15/09/2024,Paw Precinct - Surfers Paradise,Paw Precinct,112,50,5,180
19/09/2024,Paw Precinct - Surfers Paradise,Paw Precinct,156,70,7,360
20/09/2024,Paw Precinct - Surfers Paradise,Paw Precinct,150,68,7,380
21/09/2024,Paw Precinct - Surfers Paradise,Paw Precinct,166,75,8,360
24/09/2024,Paw Precinct - Surfers Paradise,Paw Precinct,100,45,5,180
26/09/2024,Paw Precinct - Surfers Paradise,Paw Precinct,191,86,9,720
28/09/2024,Paw Precinct - Surfers Paradise,Paw Precinct,103,46,5,540
29/09/2024,Paw Precinct - Surfers Paradise,Paw Precinct,191,86,9,360
01/10/2024,Paw Precinct - Surfers Paradise,Paw Precinct,198,89,9,910
02/10/2024,Paw Precinct - Surfers Paradise,Paw Precinct,121,54,5,264
03/10/2024,Paw Precinct - Surfers Paradise,Paw Precinct,132,59,6,1260
04/10/2024,Paw Precinct - Surfers Paradise,Paw Precinct,102,46,5,180
05/10/2024,Paw Precinct - Surfers Paradise,Paw Precinct,120,54,5,54
06/10/2024,Paw Precinct - Surfers Paradise,Paw Precinct,134,60,6,180
07/10/2024,Paw Precinct - Surfers Paradise,Paw Precinct,168,76,8,180
08/10/2024,Paw Precinct - Surfers Paradise,Paw Precinct,133,60,6,0
09/10/2024,Paw Precinct - Surfers Paradise,Paw Precinct,154,69,7,180
10/10/2024,Paw Precinct - Surfers Paradise,Paw Precinct,108,49,5,180
11/10/2024,Paw Precinct - Surfers Paradise,Paw Precinct,183,82,8,0
12/10/2024,Paw Precinct - Surfers Paradise,Paw Precinct,183,82,8,0
13/10/2024,Paw Precinct - Surfers Paradise,Paw Precinct,187,84,8,1620
14/10/2024,Paw Precinct - Surfers Paradise,Paw Precinct,138,62,6,180
15/10/2024,Paw Precinct - Surfers Paradise,Paw Precinct,148,67,7,360
19/10/2024,Paw Precinct - Surfers Paradise,Paw Precinct,106,48,5,360
20/10/2024,Paw Precinct - Surfers Paradise,Paw Precinct,198,89,9,380
21/10/2024,Paw Precinct - Surfers Paradise,Paw Precinct,131,59,6,360
24/10/2024,Paw Precinct - Surfers Paradise,Paw Precinct,192,86,9,180
25/10/2024,Paw Precinct - Surfers Paradise,Paw Precinct,195,88,9,0
26/10/2024,Paw Precinct - Surfers Paradise,Paw Precinct,116,52,5,540
28/10/2024,Paw Precinct - Surfers Paradise,Paw Precinct,103,46,5,480
29/10/2024,Paw Precinct - Surfers Paradise,Paw Precinct,153,69,7,360
31/10/2024,Paw Precinct - Surfers Paradise,Paw Precinct,188,85,9,540
02/01/2024,Paw Precinct - George Street,Paw Precinct,101,45,5,300
03/01/2024,Paw Precinct - George Street,Paw Precinct,119,54,5,800
05/01/2024,Paw Precinct - George Street,Paw Precinct,134,60,6,144
06/01/2024,Paw Precinct - George Street,Paw Precinct,183,82,8,291
07/01/2024,Paw Precinct - George Street,Paw Precinct,198,89,9,296
08/01/2024,Paw Precinct - George Street,Paw Precinct,196,88,9,420
09/01/2024,Paw Precinct - George Street,Paw Precinct,104,47,5,556
10/01/2024,Paw Precinct - George Street,Paw Precinct,164,74,7,472
11/01/2024,Paw Precinct - George Street,Paw Precinct,123,55,6,548
19/01/2024,Paw Precinct - George Street,Paw Precinct,176,79,8,375
22/01/2024,Paw Precinct - George Street,Paw Precinct,156,70,7,375
25/01/2024,Paw Precinct - George Street,Paw Precinct,179,81,8,400
27/01/2024,Paw Precinct - George Street,Paw Precinct,181,81,8,375
30/01/2024,Paw Precinct - George Street,Paw Precinct,139,63,6,1150
01/02/2024,Paw Precinct - George Street,Paw Precinct,106,48,5,300
05/02/2024,Paw Precinct - George Street,Paw Precinct,138,62,6,256
06/02/2024,Paw Precinct - George Street,Paw Precinct,105,47,5,197
07/02/2024,Paw Precinct - George Street,Paw Precinct,130,59,6,469
08/02/2024,Paw Precinct - George Street,Paw Precinct,126,57,6,741
09/02/2024,Paw Precinct - George Street,Paw Precinct,120,54,5,411
10/02/2024,Paw Precinct - George Street,Paw Precinct,145,65,7,478
11/02/2024,Paw Precinct - George Street,Paw Precinct,138,62,6,349
18/02/2024,Paw Precinct - George Street,Paw Precinct,176,79,8,375
21/02/2024,Paw Precinct - George Street,Paw Precinct,177,80,8,375
24/02/2024,Paw Precinct - George Street,Paw Precinct,152,68,7,800
26/02/2024,Paw Precinct - George Street,Paw Precinct,108,49,5,375
29/02/2024,Paw Precinct - George Street,Paw Precinct,106,48,5,1150
05/03/2024,Paw Precinct - George Street,Paw Precinct,118,53,5,192
06/03/2024,Paw Precinct - George Street,Paw Precinct,195,88,9,414
07/03/2024,Paw Precinct - George Street,Paw Precinct,148,67,7,486
08/03/2024,Paw Precinct - George Street,Paw Precinct,172,77,8,362
09/03/2024,Paw Precinct - George Street,Paw Precinct,150,68,7,567
10/03/2024,Paw Precinct - George Street,Paw Precinct,153,69,7,530
11/03/2024,Paw Precinct - George Street,Paw Precinct,195,88,9,98
19/03/2024,Paw Precinct - George Street,Paw Precinct,195,88,9,375
22/03/2024,Paw Precinct - George Street,Paw Precinct,174,78,8,375
25/03/2024,Paw Precinct - George Street,Paw Precinct,153,69,7,800
27/03/2024,Paw Precinct - George Street,Paw Precinct,161,72,7,375
30/03/2024,Paw Precinct - George Street,Paw Precinct,181,81,8,1123.33
31/03/2024,Paw Precinct - George Street,Paw Precinct,199,90,9,800
01/04/2024,Paw Precinct - George Street,Paw Precinct,183,82,8,0
05/04/2024,Paw Precinct - George Street,Paw Precinct,149,67,7,128
06/04/2024,Paw Precinct - George Street,Paw Precinct,179,81,8,406
07/04/2024,Paw Precinct - George Street,Paw Precinct,177,80,8,502
08/04/2024,Paw Precinct - George Street,Paw Precinct,114,51,5,154
09/04/2024,Paw Precinct - George Street,Paw Precinct,130,59,6,413
10/04/2024,Paw Precinct - George Street,Paw Precinct,105,47,5,606
11/04/2024,Paw Precinct - George Street,Paw Precinct,178,80,8,431
17/04/2024,Paw Precinct - George Street,Paw Precinct,162,73,7,400
18/04/2024,Paw Precinct - George Street,Paw Precinct,164,74,7,375
21/04/2024,Paw Precinct - George Street,Paw Precinct,155,70,7,375
23/04/2024,Paw Precinct - George Street,Paw Precinct,102,46,5,128
24/04/2024,Paw Precinct - George Street,Paw Precinct,132,59,6,560
25/04/2024,Paw Precinct - George Street,Paw Precinct,150,68,7,128
26/04/2024,Paw Precinct - George Street,Paw Precinct,157,71,7,615
27/04/2024,Paw Precinct - George Street,Paw Precinct,186,84,8,560
28/04/2024,Paw Precinct - George Street,Paw Precinct,189,85,9,80
29/04/2024,Paw Precinct - George Street,Paw Precinct,147,66,7,878
30/04/2024,Paw Precinct - George Street,Paw Precinct,186,84,8,1040
04/05/2024,Paw Precinct - George Street,Paw Precinct,153,69,7,380
05/05/2024,Paw Precinct - George Street,Paw Precinct,103,46,5,206
06/05/2024,Paw Precinct - George Street,Paw Precinct,185,83,8,374
07/05/2024,Paw Precinct - George Street,Paw Precinct,134,60,6,551
08/05/2024,Paw Precinct - George Street,Paw Precinct,141,63,6,347
09/05/2024,Paw Precinct - George Street,Paw Precinct,156,70,7,545
10/05/2024,Paw Precinct - George Street,Paw Precinct,195,88,9,302
11/05/2024,Paw Precinct - George Street,Paw Precinct,134,60,6,674
13/05/2024,Paw Precinct - George Street,Paw Precinct,102,46,5,262
14/05/2024,Paw Precinct - George Street,Paw Precinct,171,77,8,344
15/05/2024,Paw Precinct - George Street,Paw Precinct,133,60,6,301
16/05/2024,Paw Precinct - George Street,Paw Precinct,167,75,8,435
17/05/2024,Paw Precinct - George Street,Paw Precinct,116,52,5,752
18/05/2024,Paw Precinct - George Street,Paw Precinct,151,68,7,571
19/05/2024,Paw Precinct - George Street,Paw Precinct,107,48,5,236
20/05/2024,Paw Precinct - George Street,Paw Precinct,144,65,7,184
21/05/2024,Paw Precinct - George Street,Paw Precinct,180,81,8,693
22/05/2024,Paw Precinct - George Street,Paw Precinct,112,50,5,373
23/05/2024,Paw Precinct - George Street,Paw Precinct,191,86,9,453
24/05/2024,Paw Precinct - George Street,Paw Precinct,114,51,5,1230
25/05/2024,Paw Precinct - George Street,Paw Precinct,186,84,8,327
26/05/2024,Paw Precinct - George Street,Paw Precinct,178,80,8,659
27/05/2024,Paw Precinct - George Street,Paw Precinct,158,71,7,368.33
28/05/2024,Paw Precinct - George Street,Paw Precinct,128,58,6,416
29/05/2024,Paw Precinct - George Street,Paw Precinct,130,59,6,1199
30/05/2024,Paw Precinct - George Street,Paw Precinct,133,60,6,1380
31/05/2024,Paw Precinct - George Street,Paw Precinct,174,78,8,1012
05/06/2024,Paw Precinct - George Street,Paw Precinct,179,81,8,204
06/06/2024,Paw Precinct - George Street,Paw Precinct,107,48,5,521
07/06/2024,Paw Precinct - George Street,Paw Precinct,146,66,7,323
08/06/2024,Paw Precinct - George Street,Paw Precinct,109,49,5,335
09/06/2024,Paw Precinct - George Street,Paw Precinct,181,81,8,862
10/06/2024,Paw Precinct - George Street,Paw Precinct,116,52,5,618
11/06/2024,Paw Precinct - George Street,Paw Precinct,196,88,9,56
13/06/2024,Paw Precinct - George Street,Paw Precinct,178,80,8,609
14/06/2024,Paw Precinct - George Street,Paw Precinct,112,50,5,521
15/06/2024,Paw Precinct - George Street,Paw Precinct,114,51,5,418
16/06/2024,Paw Precinct - George Street,Paw Precinct,108,49,5,611
17/06/2024,Paw Precinct - George Street,Paw Precinct,168,76,8,762
18/06/2024,Paw Precinct - George Street,Paw Precinct,131,59,6,388
19/06/2024,Paw Precinct - George Street,Paw Precinct,160,72,7,443
20/06/2024,Paw Precinct - George Street,Paw Precinct,126,57,6,545
21/06/2024,Paw Precinct - George Street,Paw Precinct,108,49,5,791
22/06/2024,Paw Precinct - George Street,Paw Precinct,168,76,8,250
23/06/2024,Paw Precinct - George Street,Paw Precinct,127,57,6,952
24/06/2024,Paw Precinct - George Street,Paw Precinct,137,62,6,316
25/06/2024,Paw Precinct - George Street,Paw Precinct,154,69,7,892
26/06/2024,Paw Precinct - George Street,Paw Precinct,141,63,6,446
27/06/2024,Paw Precinct - George Street,Paw Precinct,131,59,6,571
28/06/2024,Paw Precinct - George Street,Paw Precinct,138,62,6,830.5
29/06/2024,Paw Precinct - George Street,Paw Precinct,149,67,7,1077
30/06/2024,Paw Precinct - George Street,Paw Precinct,129,58,6,574
01/07/2024,Paw Precinct - George Street,Paw Precinct,116,52,5,25.33
05/07/2024,Paw Precinct - George Street,Paw Precinct,115,52,5,147
06/07/2024,Paw Precinct - George Street,Paw Precinct,129,58,6,728
07/07/2024,Paw Precinct - George Street,Paw Precinct,143,64,6,178
08/07/2024,Paw Precinct - George Street,Paw Precinct,145,65,7,841
09/07/2024,Paw Precinct - George Street,Paw Precinct,125,56,6,229
10/07/2024,Paw Precinct - George Street,Paw Precinct,125,56,6,155
11/07/2024,Paw Precinct - George Street,Paw Precinct,167,75,8,119
12/07/2024,Paw Precinct - George Street,Paw Precinct,137,62,6,75
13/07/2024,Paw Precinct - George Street,Paw Precinct,165,74,7,215
14/07/2024,Paw Precinct - George Street,Paw Precinct,140,63,6,199
15/07/2024,Paw Precinct - George Street,Paw Precinct,133,60,6,333
16/07/2024,Paw Precinct - George Street,Paw Precinct,180,81,8,732
17/07/2024,Paw Precinct - George Street,Paw Precinct,177,80,8,915
18/07/2024,Paw Precinct - George Street,Paw Precinct,120,54,5,592
19/07/2024,Paw Precinct - George Street,Paw Precinct,131,59,6,559
20/07/2024,Paw Precinct - George Street,Paw Precinct,191,86,9,349
21/07/2024,Paw Precinct - George Street,Paw Precinct,124,56,6,662
22/07/2024,Paw Precinct - George Street,Paw Precinct,160,72,7,568
23/07/2024,Paw Precinct - George Street,Paw Precinct,193,87,9,1610
24/07/2024,Paw Precinct - George Street,Paw Precinct,123,55,6,375
25/07/2024,Paw Precinct - George Street,Paw Precinct,105,47,5,869
26/07/2024,Paw Precinct - George Street,Paw Precinct,157,71,7,583
27/07/2024,Paw Precinct - George Street,Paw Precinct,141,63,6,274
28/07/2024,Paw Precinct - George Street,Paw Precinct,122,55,6,530
29/07/2024,Paw Precinct - George Street,Paw Precinct,199,90,9,1090
30/07/2024,Paw Precinct - George Street,Paw Precinct,137,62,6,832
31/07/2024,Paw Precinct - George Street,Paw Precinct,186,84,8,444
05/08/2024,Paw Precinct - George Street,Paw Precinct,122,55,6,554
06/08/2024,Paw Precinct - George Street,Paw Precinct,103,46,5,1252
07/08/2024,Paw Precinct - George Street,Paw Precinct,148,67,7,489.67
08/08/2024,Paw Precinct - George Street,Paw Precinct,138,62,6,367
09/08/2024,Paw Precinct - George Street,Paw Precinct,110,50,5,838
10/08/2024,Paw Precinct - George Street,Paw Precinct,195,88,9,1089
11/08/2024,Paw Precinct - George Street,Paw Precinct,113,51,5,56
13/08/2024,Paw Precinct - George Street,Paw Precinct,111,50,5,458
14/08/2024,Paw Precinct - George Street,Paw Precinct,172,77,8,274
15/08/2024,Paw Precinct - George Street,Paw Precinct,117,53,5,932
16/08/2024,Paw Precinct - George Street,Paw Precinct,125,56,6,832
17/08/2024,Paw Precinct - George Street,Paw Precinct,153,69,7,330
18/08/2024,Paw Precinct - George Street,Paw Precinct,136,61,6,128
19/08/2024,Paw Precinct - George Street,Paw Precinct,164,74,7,184
20/08/2024,Paw Precinct - George Street,Paw Precinct,156,70,7,792
21/08/2024,Paw Precinct - George Street,Paw Precinct,184,83,8,767
22/08/2024,Paw Precinct - George Street,Paw Precinct,149,67,7,1617
23/08/2024,Paw Precinct - George Street,Paw Precinct,133,60,6,484
24/08/2024,Paw Precinct - George Street,Paw Precinct,115,52,5,718
25/08/2024,Paw Precinct - George Street,Paw Precinct,188,85,9,127
26/08/2024,Paw Precinct - George Street,Paw Precinct,181,81,8,309
27/08/2024,Paw Precinct - George Street,Paw Precinct,124,56,6,852
28/08/2024,Paw Precinct - George Street,Paw Precinct,151,68,7,1297
29/08/2024,Paw Precinct - George Street,Paw Precinct,136,61,6,940
30/08/2024,Paw Precinct - George Street,Paw Precinct,181,81,8,470
31/08/2024,Paw Precinct - George Street,Paw Precinct,178,80,8,333
01/09/2024,Paw Precinct - George Street,Paw Precinct,151,68,7,0
04/09/2024,Paw Precinct - George Street,Paw Precinct,148,67,7,300
05/09/2024,Paw Precinct - George Street,Paw Precinct,124,56,6,1031
06/09/2024,Paw Precinct - George Street,Paw Precinct,148,67,7,565.25
07/09/2024,Paw Precinct - George Street,Paw Precinct,121,54,5,411
08/09/2024,Paw Precinct - George Street,Paw Precinct,120,54,5,1196
09/09/2024,Paw Precinct - George Street,Paw Precinct,128,58,6,335
10/09/2024,Paw Precinct - George Street,Paw Precinct,138,62,6,548
11/09/2024,Paw Precinct - George Street,Paw Precinct,128,58,6,14
13/09/2024,Paw Precinct - George Street,Paw Precinct,142,64,6,365
14/09/2024,Paw Precinct - George Street,Paw Precinct,109,49,5,761
15/09/2024,Paw Precinct - George Street,Paw Precinct,146,66,7,754
16/09/2024,Paw Precinct - George Street,Paw Precinct,109,49,5,384
17/09/2024,Paw Precinct - George Street,Paw Precinct,162,73,7,401
18/09/2024,Paw Precinct - George Street,Paw Precinct,198,89,9,813
19/09/2024,Paw Precinct - George Street,Paw Precinct,158,71,7,767
20/09/2024,Paw Precinct - George Street,Paw Precinct,181,81,8,843
21/09/2024,Paw Precinct - George Street,Paw Precinct,101,45,5,1360
22/09/2024,Paw Precinct - George Street,Paw Precinct,122,55,6,158
23/09/2024,Paw Precinct - George Street,Paw Precinct,139,63,6,892
24/09/2024,Paw Precinct - George Street,Paw Precinct,180,81,8,492
25/09/2024,Paw Precinct - George Street,Paw Precinct,126,57,6,381
26/09/2024,Paw Precinct - George Street,Paw Precinct,193,87,9,883
27/09/2024,Paw Precinct - George Street,Paw Precinct,114,51,5,1197
28/09/2024,Paw Precinct - George Street,Paw Precinct,181,81,8,307
29/09/2024,Paw Precinct - George Street,Paw Precinct,104,47,5,212
30/09/2024,Paw Precinct - George Street,Paw Precinct,199,90,9,397
05/10/2024,Paw Precinct - George Street,Paw Precinct,124,56,6,273
06/10/2024,Paw Precinct - George Street,Paw Precinct,108,49,5,943
07/10/2024,Paw Precinct - George Street,Paw Precinct,103,46,5,1132
08/10/2024,Paw Precinct - George Street,Paw Precinct,150,68,7,370
09/10/2024,Paw Precinct - George Street,Paw Precinct,137,62,6,426
10/10/2024,Paw Precinct - George Street,Paw Precinct,136,61,6,649
13/10/2024,Paw Precinct - George Street,Paw Precinct,185,83,8,87
14/10/2024,Paw Precinct - George Street,Paw Precinct,151,68,7,859
15/10/2024,Paw Precinct - George Street,Paw Precinct,197,89,9,845
16/10/2024,Paw Precinct - George Street,Paw Precinct,148,67,7,506
17/10/2024,Paw Precinct - George Street,Paw Precinct,111,50,5,603
18/10/2024,Paw Precinct - George Street,Paw Precinct,170,77,8,944
19/10/2024,Paw Precinct - George Street,Paw Precinct,140,63,6,794
20/10/2024,Paw Precinct - George Street,Paw Precinct,148,67,7,582
21/10/2024,Paw Precinct - George Street,Paw Precinct,104,47,5,1657
22/10/2024,Paw Precinct - George Street,Paw Precinct,189,85,9,430
23/10/2024,Paw Precinct - George Street,Paw Precinct,128,58,6,1008
24/10/2024,Paw Precinct - George Street,Paw Precinct,170,77,8,760
25/10/2024,Paw Precinct - George Street,Paw Precinct,108,49,5,559
26/10/2024,Paw Precinct - George Street,Paw Precinct,194,87,9,766
27/10/2024,Paw Precinct - George Street,Paw Precinct,114,51,5,1045
28/10/2024,Paw Precinct - George Street,Paw Precinct,157,71,7,395
29/10/2024,Paw Precinct - George Street,Paw Precinct,106,48,5,569
30/10/2024,Paw Precinct - George Street,Paw Precinct,127,57,6,545
31/10/2024,Paw Precinct - George Street,Paw Precinct,113,51,5,850
01/01/2024,Pet Hotel - Sydney CBD,Pet Hotel,141,63,6,750
02/01/2024,Pet Hotel - Sydney CBD,Pet Hotel,174,78,8,150
03/01/2024,Pet Hotel - Sydney CBD,Pet Hotel,109,49,5,750
04/01/2024,Pet Hotel - Sydney CBD,Pet Hotel,186,84,8,110
06/01/2024,Pet Hotel - Sydney CBD,Pet Hotel,169,76,8,225
07/01/2024,Pet Hotel - Sydney CBD,Pet Hotel,137,62,6,270
08/01/2024,Pet Hotel - Sydney CBD,Pet Hotel,178,80,8,340
09/01/2024,Pet Hotel - Sydney CBD,Pet Hotel,134,60,6,340
10/01/2024,Pet Hotel - Sydney CBD,Pet Hotel,127,57,6,340
11/01/2024,Pet Hotel - Sydney CBD,Pet Hotel,131,59,6,170
13/01/2024,Pet Hotel - Sydney CBD,Pet Hotel,199,90,9,150
14/01/2024,Pet Hotel - Sydney CBD,Pet Hotel,163,73,7,900
15/01/2024,Pet Hotel - Sydney CBD,Pet Hotel,110,50,5,600
16/01/2024,Pet Hotel - Sydney CBD,Pet Hotel,111,50,5,520
17/01/2024,Pet Hotel - Sydney CBD,Pet Hotel,132,59,6,540
18/01/2024,Pet Hotel - Sydney CBD,Pet Hotel,107,48,5,300
19/01/2024,Pet Hotel - Sydney CBD,Pet Hotel,176,79,8,300
20/01/2024,Pet Hotel - Sydney CBD,Pet Hotel,184,83,8,300
21/01/2024,Pet Hotel - Sydney CBD,Pet Hotel,160,72,7,2250
22/01/2024,Pet Hotel - Sydney CBD,Pet Hotel,194,87,9,450
23/01/2024,Pet Hotel - Sydney CBD,Pet Hotel,115,52,5,1050
24/01/2024,Pet Hotel - Sydney CBD,Pet Hotel,111,50,5,750
25/01/2024,Pet Hotel - Sydney CBD,Pet Hotel,178,80,8,1800
26/01/2024,Pet Hotel - Sydney CBD,Pet Hotel,131,59,6,115
27/01/2024,Pet Hotel - Sydney CBD,Pet Hotel,200,90,9,1650
28/01/2024,Pet Hotel - Sydney CBD,Pet Hotel,113,51,5,450
29/01/2024,Pet Hotel - Sydney CBD,Pet Hotel,170,77,8,450
30/01/2024,Pet Hotel - Sydney CBD,Pet Hotel,186,84,8,820
31/01/2024,Pet Hotel - Sydney CBD,Pet Hotel,182,82,8,750
01/02/2024,Pet Hotel - Sydney CBD,Pet Hotel,135,61,6,150
02/02/2024,Pet Hotel - Sydney CBD,Pet Hotel,169,76,8,120
03/02/2024,Pet Hotel - Sydney CBD,Pet Hotel,174,78,8,150
04/02/2024,Pet Hotel - Sydney CBD,Pet Hotel,147,66,7,120
05/02/2024,Pet Hotel - Sydney CBD,Pet Hotel,192,86,9,270
06/02/2024,Pet Hotel - Sydney CBD,Pet Hotel,157,71,7,150
07/02/2024,Pet Hotel - Sydney CBD,Pet Hotel,187,84,8,340
08/02/2024,Pet Hotel - Sydney CBD,Pet Hotel,141,63,6,340
09/02/2024,Pet Hotel - Sydney CBD,Pet Hotel,113,51,5,487.33
10/02/2024,Pet Hotel - Sydney CBD,Pet Hotel,124,56,6,192.67
11/02/2024,Pet Hotel - Sydney CBD,Pet Hotel,147,66,7,680
13/02/2024,Pet Hotel - Sydney CBD,Pet Hotel,167,75,8,900
14/02/2024,Pet Hotel - Sydney CBD,Pet Hotel,166,75,8,750
15/02/2024,Pet Hotel - Sydney CBD,Pet Hotel,126,57,6,520
16/02/2024,Pet Hotel - Sydney CBD,Pet Hotel,155,70,7,450
17/02/2024,Pet Hotel - Sydney CBD,Pet Hotel,110,50,5,300
18/02/2024,Pet Hotel - Sydney CBD,Pet Hotel,105,47,5,300
19/02/2024,Pet Hotel - Sydney CBD,Pet Hotel,148,67,7,300
20/02/2024,Pet Hotel - Sydney CBD,Pet Hotel,108,49,5,2100
21/02/2024,Pet Hotel - Sydney CBD,Pet Hotel,118,53,5,450
22/02/2024,Pet Hotel - Sydney CBD,Pet Hotel,176,79,8,1050
23/02/2024,Pet Hotel - Sydney CBD,Pet Hotel,118,53,5,750
24/02/2024,Pet Hotel - Sydney CBD,Pet Hotel,170,77,8,1800
25/02/2024,Pet Hotel - Sydney CBD,Pet Hotel,128,58,6,70
26/02/2024,Pet Hotel - Sydney CBD,Pet Hotel,112,50,5,1650
27/02/2024,Pet Hotel - Sydney CBD,Pet Hotel,197,89,9,450
28/02/2024,Pet Hotel - Sydney CBD,Pet Hotel,172,77,8,450
29/02/2024,Pet Hotel - Sydney CBD,Pet Hotel,100,45,5,750
01/03/2024,Pet Hotel - Sydney CBD,Pet Hotel,190,86,9,270
02/03/2024,Pet Hotel - Sydney CBD,Pet Hotel,158,71,7,300
03/03/2024,Pet Hotel - Sydney CBD,Pet Hotel,107,48,5,120
04/03/2024,Pet Hotel - Sydney CBD,Pet Hotel,174,78,8,150
05/03/2024,Pet Hotel - Sydney CBD,Pet Hotel,129,58,6,150
06/03/2024,Pet Hotel - Sydney CBD,Pet Hotel,161,72,7,300
07/03/2024,Pet Hotel - Sydney CBD,Pet Hotel,195,88,9,340
08/03/2024,Pet Hotel - Sydney CBD,Pet Hotel,133,60,6,510
09/03/2024,Pet Hotel - Sydney CBD,Pet Hotel,178,80,8,680
10/03/2024,Pet Hotel - Sydney CBD,Pet Hotel,177,80,8,680
11/03/2024,Pet Hotel - Sydney CBD,Pet Hotel,151,68,7,1360
13/03/2024,Pet Hotel - Sydney CBD,Pet Hotel,154,69,7,150
14/03/2024,Pet Hotel - Sydney CBD,Pet Hotel,153,69,7,900
15/03/2024,Pet Hotel - Sydney CBD,Pet Hotel,162,73,7,750
16/03/2024,Pet Hotel - Sydney CBD,Pet Hotel,173,78,8,520
17/03/2024,Pet Hotel - Sydney CBD,Pet Hotel,178,80,8,450
18/03/2024,Pet Hotel - Sydney CBD,Pet Hotel,127,57,6,300
19/03/2024,Pet Hotel - Sydney CBD,Pet Hotel,107,48,5,450
20/03/2024,Pet Hotel - Sydney CBD,Pet Hotel,119,54,5,300
21/03/2024,Pet Hotel - Sydney CBD,Pet Hotel,153,69,7,2100
22/03/2024,Pet Hotel - Sydney CBD,Pet Hotel,149,67,7,450
23/03/2024,Pet Hotel - Sydney CBD,Pet Hotel,191,86,9,925
24/03/2024,Pet Hotel - Sydney CBD,Pet Hotel,170,77,8,750
25/03/2024,Pet Hotel - Sydney CBD,Pet Hotel,167,75,8,1950
26/03/2024,Pet Hotel - Sydney CBD,Pet Hotel,146,66,7,70
27/03/2024,Pet Hotel - Sydney CBD,Pet Hotel,162,73,7,1650
28/03/2024,Pet Hotel - Sydney CBD,Pet Hotel,112,50,5,450
29/03/2024,Pet Hotel - Sydney CBD,Pet Hotel,171,77,8,450
30/03/2024,Pet Hotel - Sydney CBD,Pet Hotel,122,55,6,750
31/03/2024,Pet Hotel - Sydney CBD,Pet Hotel,138,62,6,750
01/04/2024,Pet Hotel - Sydney CBD,Pet Hotel,156,70,7,150
02/04/2024,Pet Hotel - Sydney CBD,Pet Hotel,192,86,9,150
03/04/2024,Pet Hotel - Sydney CBD,Pet Hotel,128,58,6,285
04/04/2024,Pet Hotel - Sydney CBD,Pet Hotel,170,77,8,150
05/04/2024,Pet Hotel - Sydney CBD,Pet Hotel,118,53,5,150
06/04/2024,Pet Hotel - Sydney CBD,Pet Hotel,161,72,7,450
07/04/2024,Pet Hotel - Sydney CBD,Pet Hotel,165,74,7,510
